№;Team;M;W;D;L;G;GA;PTS
1;Liverpool;13;11;2;0;37;11;35
2;Manchester City;13;9;4;0;31;11;31
3;Arsenal;12;9;2;1;30;11;29
4;Aston Villa;12;9;1;2;31;13;28
5;Tottenham;13;9;0;4;26;18;27
6;Newcastle United;13;8;2;3;31;16;26
7;Brighton;12;6;5;1;26;15;23
8;Fulham;13;7;1;5;23;15;22
9;Manchester United;12;7;1;4;18;18;22
10;West Ham;12;5;4;3;18;17;19
11;Chelsea;12;5;3;4;20;18;18
12;Wolverhampton Wanderers;12;5;3;4;19;20;18
13;Nottingham Forest;13;4;3;6;19;20;15
14;Brentford;13;4;3;6;22;27;15
15;Everton;13;3;4;6;14;15;13
16;Bournemouth;11;3;4;4;12;17;13
17;Crystal Palace;12;3;3;6;15;19;12
18;Luton;13;3;2;8;19;22;11
19;Sheffield United;13;2;2;9;12;36;8
20;Burnley;13;1;2;10;13;32;5
