,date,league,local_team,visit_team,home_win,visitor_win,tie,exp_goals,exp_goals_prob,total_goals,home_goals,visitor_goals
0,May-02,Premier League,Chelsea,Tottenham,0.4119,0.3835,0.2017,+2.5,0.7885,4.19,2.13,2.06
1,May-03,Ligue 1,Toulouse,Montpellier,0.3733,0.3706,0.256,+1.5,0.7586,2.74,1.37,1.37
2,May-03,Ligue 1,Lens,Lorient,0.6673,0.1425,0.1881,+1.5,0.8217,3.15,2.23,0.92
3,May-03,Bundesliga,Hoffenheim,RasenBallsport Leipzig,0.1731,0.6584,0.1557,+3.5,0.6725,4.59,1.56,3.03
4,May-03,Serie A,Torino,Bologna,0.3559,0.2232,0.421,+0.5,0.6913,1.18,0.69,0.48
5,May-03,La Liga,Getafe,Athletic Club,0.3495,0.3012,0.3493,+0.5,0.8035,1.63,0.86,0.77
6,May-03,Premier League,Luton,Everton,0.4267,0.3144,0.2587,+1.5,0.7421,2.65,1.45,1.2
7,May-04,Premier League,Arsenal,Bournemouth,0.7584,0.0943,0.1388,+2.5,0.7206,3.74,2.82,0.92
8,May-04,Premier League,Brentford,Fulham,0.4724,0.299,0.2279,+1.5,0.8331,3.23,1.82,1.41
9,May-04,Premier League,Burnley,Newcastle United,0.1732,0.6398,0.1837,+2.5,0.695,3.59,1.18,2.4
10,May-04,Premier League,Sheffield United,Nottingham Forest,0.2233,0.5628,0.2127,+1.5,0.8356,3.25,1.21,2.04
11,May-04,Premier League,Manchester City,Wolverhampton Wanderers,0.7223,0.1048,0.1702,+1.5,0.8123,3.08,2.32,0.76
12,May-04,La Liga,Real Sociedad,Las Palmas,0.5277,0.2057,0.2664,+1.5,0.6609,2.26,1.46,0.8
13,May-04,La Liga,Real Madrid,Cadiz,0.8914,0.0172,0.0822,+1.5,0.8165,3.11,2.86,0.25
14,May-04,La Liga,Girona,Barcelona,0.4432,0.3424,0.2128,+2.5,0.7231,3.75,2.0,1.75
15,May-04,La Liga,Mallorca,Atletico Madrid,0.2792,0.3898,0.331,+0.5,0.8278,1.76,0.78,0.98
16,May-04,Ligue 1,Le Havre,Strasbourg,0.3771,0.2918,0.3311,+0.5,0.8292,1.77,0.96,0.81
17,May-04,Ligue 1,Monaco,Clermont Foot,0.6526,0.1118,0.2353,+1.5,0.6362,2.16,1.65,0.51
18,May-04,Ligue 1,Metz,Rennes,0.2328,0.4632,0.304,+0.5,0.8558,1.94,0.75,1.19
19,May-04,Ligue 1,Brest,Nantes,0.6083,0.1418,0.2497,+1.5,0.6408,2.18,1.57,0.61
20,May-04,Bundesliga,VfB Stuttgart,Bayern Munich,0.6018,0.2178,0.1719,+3.5,0.6564,4.49,2.8,1.69
21,May-04,Bundesliga,Borussia Dortmund,Augsburg,0.4764,0.3,0.2227,+2.5,0.653,3.36,1.89,1.47
22,May-04,Bundesliga,Werder Bremen,Borussia M.Gladbach,0.4037,0.3869,0.2072,+2.5,0.7606,3.99,2.02,1.97
23,May-04,Bundesliga,Wolfsburg,Darmstadt,0.5588,0.2134,0.2272,+1.5,0.7839,2.89,1.84,1.05
24,May-04,Bundesliga,FC Cologne,Freiburg,0.2211,0.4942,0.2847,+0.5,0.878,2.1,0.78,1.32
25,May-04,Serie A,Monza,Lazio,0.2675,0.4821,0.2501,+1.5,0.751,2.7,1.11,1.58
26,May-04,Serie A,Sassuolo,Inter,0.0157,0.8918,0.0488,+2.5,0.8051,4.32,0.45,3.87
27,May-05,Serie A,Cagliari,Lecce,0.4641,0.2854,0.2503,+1.5,0.7587,2.74,1.57,1.17
28,May-05,Serie A,Empoli,Frosinone,0.3965,0.3094,0.2941,+0.5,0.8833,2.15,1.16,0.99
29,May-05,Serie A,Verona,Fiorentina,0.2692,0.4356,0.2951,+0.5,0.8762,2.09,0.88,1.21
30,May-05,Serie A,AC Milan,Genoa,0.5765,0.1345,0.2889,+0.5,0.8333,1.79,1.31,0.48
31,May-05,Serie A,Roma,Juventus,0.3925,0.3486,0.2588,+1.5,0.7481,2.68,1.39,1.29
32,May-05,La Liga,Osasuna,Real Betis,0.3125,0.41,0.2774,+1.5,0.6833,2.36,1.08,1.28
33,May-05,La Liga,Celta Vigo,Villarreal,0.2649,0.4804,0.2545,+1.5,0.736,2.62,1.08,1.54
34,May-05,La Liga,Valencia,Alaves,0.526,0.1308,0.3432,+0.5,0.7617,1.43,1.06,0.38
35,May-05,La Liga,Rayo Vallecano,Almeria,0.413,0.33,0.2568,+1.5,0.7518,2.7,1.44,1.26
36,May-05,La Liga,Sevilla,Granada,0.6154,0.1812,0.2018,+1.5,0.8291,3.2,2.13,1.07
37,May-05,Premier League,Brighton,Aston Villa,0.3689,0.3947,0.2359,+1.5,0.8232,3.16,1.55,1.61
38,May-05,Premier League,Chelsea,West Ham,0.5782,0.2371,0.1772,+3.5,0.6533,4.47,2.72,1.75
39,May-05,Premier League,Liverpool,Tottenham,0.6556,0.1624,0.178,+2.5,0.7023,3.63,2.47,1.16
40,May-05,Bundesliga,Union Berlin,Bochum,0.5492,0.2024,0.2481,+1.5,0.7112,2.49,1.62,0.87
41,May-05,Bundesliga,Eintracht Frankfurt,Bayer Leverkusen,0.206,0.5224,0.2715,+1.5,0.6468,2.21,0.78,1.42
42,May-05,Bundesliga,FC Heidenheim,Mainz 05,0.613,0.1713,0.2148,+1.5,0.7785,2.86,1.94,0.92
43,May-06,Serie A,Salernitana,Atalanta,0.1042,0.7387,0.1511,+2.5,0.6886,3.55,0.9,2.65
44,May-06,Serie A,Udinese,Napoli,0.1212,0.6968,0.1796,+1.5,0.8137,3.09,0.82,2.26
45,May-06,Premier League,Crystal Palace,Manchester United,0.3611,0.3896,0.249,+1.5,0.7807,2.87,1.4,1.47
46,May-06,Ligue 1,Lille,Lyon,0.7325,0.0851,0.1809,+1.5,0.7381,2.63,2.08,0.55
